"%1 Decline reason: %2","%1 Decline reason: %2"
"%1 Details","%1 Details"
"%1 [Trace ID: %2]","%1 [Trace ID: %2]"
"%1 customer address updated.","%1 customer address updated."
"%1 order has been marked as cancelled","%1 order has been marked as cancelled"
"%1 order invoice has not been issued yet.","%1 order invoice has not been issued yet."
"%1 order marked as completed.","%1 order marked as completed."
"%1 order marked as partially completed.","%1 order marked as partially completed."
"%1 payment has been verified by the customer.","%1 payment has been verified by the customer."
"%1 payment terms","%1 payment terms"
"%1 requires whole order to be shipped before it can be fulfilled.","%1 requires whole order to be shipped before it can be fulfilled."
"%1 terms and conditions","%1 terms and conditions"
"* Required Fields","* Required Fields"
"API key","API key"
"API key is missing","API key is missing"
"API key is not valid","API key is not valid"
"API key is valid","API key is valid"
"Add PO number field","Add PO number field"
"Add department field","Add department field"
"Add order note field","Add order note field"
"Add project field","Add project field"
"Allow to applicable countries","Allow to applicable countries"
"Allow to specific countries","Allow to specific countries"
"Amount is missing","Amount is missing"
Branding,Branding
"Buy now, receive your goods, pay your invoice later.","Buy now, receive your goods, pay your invoice later."
"By checking this box, I confirm that I have read and agree to %1.","By checking this box, I confirm that I have read and agree to %1."
"By checking this box, I confirm that I have read and agree to the %1.","By checking this box, I confirm that I have read and agree to the %1."
"Check last 100 debug log records","Check last 100 debug log records"
"Check last 100 error log records","Check last 100 error log records"
"City is not valid.","City is not valid."
"Click here to log in or sign up as a Sole Trader.","Click here to log in or sign up as a Sole Trader."
"Company ID","Company ID"
"Company ID is not valid.","Company ID is not valid."
"Company Name","Company Name"
"Could not initiate capture with %1","Could not initiate capture with %1"
"Could not initiate refund with %1","Could not initiate refund with %1"
"Could not update %1 order status to cancelled. Please contact support with order ID %2. Error: %3","Could not update %1 order status to cancelled. Please contact support with order ID %2. Error: %3"
"Country is not valid.","Country is not valid."
"Credit Note","Credit Note"
"Debug mode","Debug mode"
Department,Department
"Developed by Magmodules.","Developed by Magmodules."
Download,Download
"Download as .txt file","Download as .txt file"
"Email Address is not valid.","Email Address is not valid."
"Enable address search","Enable address search"
"Enable company search","Enable company search"
"Enable order intent","Enable order intent"
"Enable payment method","Enable payment method"
"Enable tax subtotals","Enable tax subtotals"
"Enter company name to search","Enter company name to search"
"Enter details manually","Enter details manually"
Environment,Environment
"Failed to refund order with %1. Reason: %2","Failed to refund order with %1. Reason: %2"
"Failed to update %1 customer address: %2","Failed to update %1 customer address: %2"
"Find out more","Find out more"
"First Name is not valid.","First Name is not valid."
"Fulfilment order status","Fulfilment order status"
"Fulfilment trigger","Fulfilment trigger"
General,General
"Invalid API response from %1.","Invalid API response from %1."
Invoice,Invoice
"Invoice purchase with %1 is not available for this order.","Invoice purchase with %1 is not available for this order."
"Last 100 debug log lines","Last 100 debug log lines"
"Last 100 error log records","Last 100 error log records"
"Last Name is not valid.","Last Name is not valid."
"Log is empty","Log is empty"
OK,OK
"On Completion","On Completion"
"On Invoice","On Invoice"
"On Shipment","On Shipment"
"Order ID","Order ID"
"Order Note","Order Note"
"Order edit request was accepted by %1","Order edit request was accepted by %1"
"PO Number","PO Number"
Payment,Payment
"Payment Terms","Payment Terms"
"Payment method","Payment method"
"Phone Number is not valid.","Phone Number is not valid."
"Place Order","Place Order"
"Please try again later.","Please try again later."
Production,Production
Project,Project
"Registered Organisation","Registered Organisation"
Sandbox,Sandbox
Search,Search
"Search for company","Search for company"
"Sign up now","Sign up now"
"Sole Trader","Sole Trader"
"Something went wrong with your request to %1. %2","Something went wrong with your request to %1. %2"
"Sort order","Sort order"
"Street Address is not valid.","Street Address is not valid."
"Successfully refunded order with %1 for order ID: %2. Refund reference: %3","Successfully refunded order with %1 for order ID: %2. Refund reference: %3"
TWO,TWO
"The %1 payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our <a href=""%2"" target=""_blank"">step by step guide</a>.","The %1 payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our <a href=""%2"" target=""_blank"">step by step guide</a>."
"The buyer and the seller are the same company.","The buyer and the seller are the same company."
"The capture action is not available.","The capture action is not available."
Title,Title
"Two is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using Two, you can access flexible trade credit instantly to make purchasing simple.","Two is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using Two, you can access flexible trade credit instantly to make purchasing simple."
"Unable to confirm %1 order with %2 state.","Unable to confirm %1 order with %2 state."
"Unable to find the requested %1 order","Unable to find the requested %1 order"
"Unable to retrieve payment information for your invoice purchase with %1. The cart will be restored.","Unable to retrieve payment information for your invoice purchase with %1. The cart will be restored."
Version,Version
"You must accept %1 to place order.","You must accept %1 to place order."
"You must first accept the payment terms.","You must first accept the payment terms."
"You will be redirected to %1 when you place order.","You will be redirected to %1 when you place order."
"Your invoice purchase with %1 could not be processed. The cart will be restored.","Your invoice purchase with %1 could not be processed. The cart will be restored."
"Your invoice purchase with %1 failed verification. The cart will be restored.","Your invoice purchase with %1 failed verification. The cart will be restored."
"Your invoice purchase with %1 has been cancelled. The cart will be restored.","Your invoice purchase with %1 has been cancelled. The cart will be restored."
"Your invoice purchase with %1 has been declined.","Your invoice purchase with %1 has been declined."
"Your invoice purchase with %1 is likely to be accepted subject to additional checks.","Your invoice purchase with %1 is likely to be accepted subject to additional checks."
"Your request to %1 failed. Reason: %2","Your request to %1 failed. Reason: %2"
"Your sole trader account could not be verified.","Your sole trader account could not be verified."
"Zip/Postal Code is not valid.","Zip/Postal Code is not valid."
"Invoice email address","Invoice email address"
"Please ensure that your invoice email address list only contains valid email addresses separated by commas.","Please ensure that your invoice email address list only contains valid email addresses separated by commas."
